hhid,province,district,subdistrict,village,ea,pmt,community,hybrid,elite,poorest10,daymeeting,treated,rank,consumption,consumption_ae,food,nonfood,nonstaple,diversity,pcfloor,tfloor,twall,toilet,water,lighting,troof,fcook,house,credit,hhsize,hhsize2,hhsize_ae,hhage,hhage2,hhmale,hhmarried,hhmalemarr,hhsector1,hhsector2,hhsector3,formal,informal,hheduc2,hheduc3,hheduc4,age04,eschild,jschild,sschild,higheduc2,higheduc3,higheduc4,depratio,ac,computer,radio,tv,dvd,satellite,gas,refrigerator,bicycle,motorcycle,auto,hp,jewelry,chicken,cow
"001025",12,15,102,22,1,0,0,1,0,0,1,0,.6901408,899.2024,1123.786,76.25,.9152026,.547541,11,24.75,1,0,1,0,1,0,0,1,0,4,16,3.200617,80,6400,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
"001302",12,15,102,22,1,0,0,1,0,0,1,0,.9014084,479.3333,664.689,34.0625,.9289377,.4036697,7,10,1,0,1,0,1,0,0,1,0,8,64,5.769114,58,3364,1,1,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,.3333333,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0
"001468",12,15,102,22,1,0,0,1,0,0,1,0,.6760563,421.7262,535.1695,65.25,.8452787,.6360153,10,22.5,1,0,1,1,1,0,0,1,0,4,16,3.152094,35,1225,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
"001473",12,15,102,22,1,0,0,1,0,0,1,0,.2112676,831.6846,922.8118,33.4,.9598405,.5733533,6,28.5,1,0,1,1,1,0,0,1,0,2,4,1.802501,68,4624,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"001476",12,15,102,22,1,0,0,1,0,0,1,0,.7464789,631.0358,631.0358,88.5,.8597544,.7853107,9,60,1,0,1,0,1,0,0,1,0,1,1,1,78,6084,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"001564",12,15,102,22,1,0,0,1,0,0,1,0,.028169,491.8988,545.7959,54.75,.8886966,.739726,8,25,1,0,1,1,1,0,0,1,0,2,4,1.802501,27,729,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"001627",12,15,102,22,1,0,0,1,0,0,1,0,.1690141,384.6429,439.9101,39.875,.8963324,.5862069,8,26,1,0,1,0,1,0,0,1,0,2,4,1.748734,71,5041,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"001816",12,15,102,22,1,0,0,1,0,0,1,0,.8028169,350.0476,444.2096,39.25,.8878724,.4267516,7,12.5,1,0,1,1,1,0,0,1,0,4,16,3.152094,62,3844,1,1,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"001904",12,15,102,22,1,0,0,1,0,0,1,1,.5774648,249.2786,,,,.4043887,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"002001",12,15,102,11,2,0,1,0,0,0,0,1,.3278688,308.0857,406.777,46.5,.849068,.6,9,4.8,1,0,0,1,1,0,1,1,0,5,25,3.786912,35,1225,1,1,1,1,0,0,0,1,0,0,1,2,1,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
